BTC,BNB,ETH,Date
51132.4609375,261.5650634765625,1863.460693359375,2021-03-09
55900.37890625,281.8013610839844,1853.2557373046875,2021-03-10
56515.81640625,305.4436340332031,1804.7913818359373,2021-03-11
58369.1640625,265.15692138671875,1794.9814453125,2021-03-12
59728.5859375,278.1088256835937,1910.760009765625,2021-03-13
60771.1875,265.1084289550781,1894.823486328125,2021-03-14
58794.7109375,254.8902740478516,1854.867919921875,2021-03-15
56460.33984375,264.11260986328125,1838.37451171875,2021-03-16
56928.328125,269.193359375,1764.8062744140625,2021-03-17
59460.69140625,275.2416687011719,1856.2921142578125,2021-03-18
58823.63671875,288.2018737792969,1810.05615234375,2021-03-19
59323.38671875,275.7977600097656,1832.5211181640625,2021-03-20
58788.8515625,272.8709716796875,1804.5399169921875,2021-03-21
58384.1328125,270.8752746582031,1800.54345703125,2021-03-22
55337.4921875,260.0879211425781,1665.9556884765625,2021-03-23
54404.55078125,266.6261291503906,1674.7086181640625,2021-03-24
53057.6640625,248.16595458984372,1563.12255859375,2021-03-25
51762.27734375,243.8274383544922,1610.9600830078125,2021-03-26
54936.578125,262.6385803222656,1725.06005859375,2021-03-27
56798.71484375,277.6012878417969,1752.1121826171875,2021-03-28
56216.90625,282.33660888671875,1717.924072265625,2021-03-29
58316.5078125,284.3060607910156,1815.3341064453125,2021-03-30
59630.98046875,320.6894836425781,1865.8189697265625,2021-03-31
59368.97265625,330.8582763671875,1969.5816650390625,2021-04-01
59647.34375,335.12872314453125,1968.9835205078125,2021-04-02
59628.453125,333.9026794433594,2128.3974609375,2021-04-03
58047.7421875,336.1140441894531,2031.037109375,2021-04-04
59184.1015625,360.71044921875,2095.950439453125,2021-04-05
59082.984375,418.6209411621094,2111.5078125,2021-04-06
58084.05078125,382.4605407714844,2122.956298828125,2021-04-07
56357.8515625,410.1922912597656,1962.0516357421875,2021-04-08
57834.4140625,431.5867919921875,2032.6622314453125,2021-04-09
58626.109375,457.93017578125,2086.9658203125,2021-04-10
60603.5078125,523.994384765625,2228.38330078125,2021-04-11
60487.4453125,604.425048828125,2181.366455078125,2021-04-12
62134.44140625,582.1106567382812,2187.3095703125,2021-04-13
62898.109375,574.60791015625,2292.03125,2021-04-14
63707.19140625,553.0012817382812,2432.200439453125,2021-04-15
63209.61328125,526.3539428710938,2548.415283203125,2021-04-16
61758.33984375,534.3474731445312,2423.28466796875,2021-04-17
60620.7734375,513.58154296875,2332.552001953125,2021-04-18
56419.24609375,501.3873291015625,2216.124755859375,2021-04-19
