BTC,BNB,ETH,Date
53084.76171875,267.80694580078125,1862.685791015625,2021-03-09
55923.03125,297.2210998535156,1843.1099853515625,2021-03-10
56065.0078125,290.83404541015625,1814.8067626953125,2021-03-11
58260.5078125,272.9622802734375,1808.2718505859373,2021-03-12
58092.96875,274.0365905761719,1766.0089111328125,2021-03-13
60853.8125,283.21588134765625,1900.6346435546875,2021-03-14
59534.80078125,267.4662780761719,1902.9638671875,2021-03-15
56713.41796875,261.7891845703125,1810.44970703125,2021-03-16
56890.015625,261.3067321777344,1814.3458251953125,2021-03-17
59300.52734375,276.8533630371094,1844.142333984375,2021-03-18
58383.96484375,294.8282165527344,1782.408203125,2021-03-19
58705.421875,285.20318603515625,1835.453857421875,2021-03-20
58589.40625,263.9251403808594,1808.1136474609373,2021-03-21
57869.41015625,272.9695739746094,1799.197509765625,2021-03-22
54911.8671875,265.37078857421875,1678.05908203125,2021-03-23
54819.37890625,275.1747741699219,1683.5997314453125,2021-03-24
52884.12890625,252.1264190673828,1589.6923828125,2021-03-25
51677.44140625,242.34909057617188,1626.57666015625,2021-03-26
55035.5078125,267.491943359375,1715.635986328125,2021-03-27
56273.375,282.35797119140625,1740.736572265625,2021-03-28
56310.078125,276.0049133300781,1714.0224609375,2021-03-29
57819.19921875,288.2770690917969,1827.8026123046875,2021-03-30
59064.5390625,300.9396057128906,1882.45458984375,2021-03-31
59325.91796875,342.4263916015625,1952.3929443359373,2021-04-01
59245.59375,326.0654602050781,1967.03662109375,2021-04-02
59606.00390625,342.1080322265625,2157.15380859375,2021-04-03
57863.46875,337.0401916503906,2032.1337890625,2021-04-04
58850.84765625,380.7719421386719,2085.9482421875,2021-04-05
59186.48828125,381.7886962890625,2122.970703125,2021-04-06
58500.15625,386.760986328125,2133.062744140625,2021-04-07
56273.51171875,404.35845947265625,1951.5902099609373,2021-04-08
58175.2421875,433.9872741699219,2064.665771484375,2021-04-09
58492.3671875,461.4464416503906,2078.153564453125,2021-04-10
60095.62890625,499.7631530761719,2180.849609375,2021-04-11
60197.8125,575.9835205078125,2178.381591796875,2021-04-12
60456.703125,585.3505249023438,2151.026611328125,2021-04-13
63504.765625,578.381591796875,2330.305908203125,2021-04-14
62862.203125,549.8623046875,2462.990234375,2021-04-15
64004.12109375,529.1384887695312,2522.093505859375,2021-04-16
61888.90234375,520.3980102539062,2431.602783203125,2021-04-17
60806.859375,530.7499389648438,2329.488525390625,2021-04-18
56571.58984375,512.2659301757812,2221.877685546875,2021-04-19
55580.40234375,522.2647705078125,2200.13818359375,2021-04-20
56534.20703125,570.7277221679688,2359.709228515625,2021-04-21
54043.5,546.6604614257812,2395.199951171875,2021-04-22
51983.13671875,528.9097290039062,2424.56103515625,2021-04-23
50910.67578125,496.30023193359375,2347.978271484375,2021-04-24
49990.98828125,531.2808837890625,2207.857666015625,2021-04-25
49205.98046875,528.2164306640625,2348.148193359375,2021-04-26
53808.9609375,534.8912963867188,2606.801025390625,2021-04-27
55155.2265625,575.5594482421875,2660.434326171875,2021-04-28
55863.3046875,595.0552368164062,2766.171142578125,2021-04-29
53537.3359375,634.0844116210938,2750.45166015625,2021-04-30
57650.94140625,618.8897094726562,2786.069091796875,2021-05-01
58083.1015625,632.1695556640625,2992.8291015625,2021-05-02
57403.02734375,649.7586669921875,3016.989013671875,2021-05-03
57138.37109375,661.9833374023438,3252.3916015625,2021-05-04
53307.53515625,681.3038330078125,3478.21875,2021-05-05
57259.6796875,641.0135498046875,3428.827392578125,2021-05-06
56249.3984375,625.8090209960938,3522.608154296875,2021-05-07
57791.26953125,641.94091796875,3625.9345703125,2021-05-08
58604.40625,636.9552612304688,3895.28271484375,2021-05-09
58519.1796875,690.571533203125,4076.901611328125,2021-05-10
56046.015625,647.6834106445312,4048.25439453125,2021-05-11
56429.32421875,660.0419311523438,4130.56689453125,2021-05-12
49877.2265625,601.5189819335938,3811.13330078125,2021-05-13
49264.46484375,575.5043334960938,3792.3349609375,2021-05-14
49172.19921875,586.6069946289062,3919.8212890625,2021-05-15
47609.453125,569.7351684570312,3748.197265625,2021-05-16
45866.14453125,586.5022583007812,3493.25439453125,2021-05-17
43383.12890625,514.444580078125,3266.7119140625,2021-05-18
42936.8046875,485.8902587890625,3016.536376953125,2021-05-19
37247.62890625,398.4504699707031,2693.21875,2021-05-20
40260.97265625,306.0783386230469,2247.530029296875,2021-05-21
37325.61328125,275.1370849609375,2329.73779296875,2021-05-22
37540.8515625,257.8922119140625,2352.90380859375,2021-05-23
34712.78515625,255.31130981445312,2204.947265625,2021-05-24
38174.23828125,304.342041015625,2422.872802734375,2021-05-25
38321.09765625,397.1110534667969,2800.02734375,2021-05-26
39309.76171875,364.0076904296875,2797.985595703125,2021-05-27
