,0
0,3443946697.4242835
1,3561237493.284196
2,3558324312.5281725
3,3790018844.1870613
4,0.0
5,3913387193.2487736
6,0.0
7,3659829207.913295
8,0.0
9,3066637642.8151145
10,0.0
11,2976447164.4740534
12,0.0
13,2581517556.793047
14,0.0
15,2394740676.7009406
16,0.0
17,2908462174.0569787
18,0.0
19,2867775051.2766995
20,0.0
21,3256219707.647065
22,0.0
23,3157488701.9034257
24,0.0
25,2980451370.807364
26,0.0
27,3151950740.585588
28,0.0
29,3343125828.155777
30,0.0
31,3083361726.766521
32,0.0
33,2400703378.875713
34,0.0
35,2268501238.835982
36,0.0
37,1964783047.7684972
38,0.0
39,1551092355.4886298
40,0.0
41,1484441366.0306623
42,0.0
43,1280772134.4025939
44,397958.2986687422
45,1464140571.311326
46,1661664.6134690344
47,1480719701.2038407
48,973660.3950304091
49,1207527511.7951465
50,304214.0236404836
51,1306281460.3055472
52,1245982.6800282584
53,1349791501.3457856
54,1607234.2600776537
55,1414462623.2564502
56,1216453.5147956016
57,1243693289.236393
58,1187097.706872821
59,1096273317.7093835
60,909192.2581688464
61,1342207910.5513418
62,505203.921141802
63,1299400561.1498013
64,577352.3718351126
65,1537932863.1387103
66,1027721.0731045306
67,1508034938.2257872
68,392605.8772801161
69,1335236192.0395346
70,6301.800924420356
71,1241918984.2511737
72,-283350.64352071285
73,1004935627.9721383
74,-521828.1073502302
75,1145825213.9135299
76,0.0
77,995153181.8024321
78,7104.015406966209
79,1171690765.5742388
80,468756.72692374885
81,1235000588.9868715
82,642370.5260521173
83,1114732946.1854503
84,628656.9632964134
85,1200594817.448011
86,811512.3833978176
87,1131507783.0169518
88,969346.6478770226
89,1090251630.5905423
90,489982.9499559243
91,1109574746.7696066
92,476174.6893208027
93,1111633835.6296804
94,170640.72794817341
95,1050605491.3289096
96,101020.50237357616
97,977787679.4034199
98,-25227.91422557831
99,980676753.8563949
